,text,summary
20,The Code Breaker," details the life of Nobel Prize winner Jennifer Doudna, who embarked on — and successfully completed — a journey to invent a tool that allows us to edit the human genetic code and thus will change our lives, health, and future generations forever."
21,Super Human," presents the groundbreaking discoveries of Dave Asprey (the CEO of Bulletproof) in the field of diet &amp; nutrition, biohacking, longevity, and offers a scientific view on how to live your best life and look like the best version of yourself by adopting practices acclaimed by bioengineers right away."
22,This Is Your Mind On Plants, 
23,The Undoing Project, talks about the life and extensive research in the psychology of Kahneman and Tversky by bringing forth some of the most influential and groundbreaking discoveries they unveiled about human behavior and the biases in our decisions.
24,The Dawn of Everything," tells the story of how we went from hunter-gatherers to city-builders, from the Stone Age to today’s modern world, all by exploring a series of new discoveries made by scientists who are challenging some long-held beliefs about our history."
25,One Decision," explains how flawed decisions occur and how you can avoid them by analyzing data at first, asking for fact-checked opinions, eliminating your biases and prejudice, and many more useful practices derived from psychological research."
26,Napoleon’s Buttons, explores the scientific phenomenon of molecules by highlighting how we can trace the origins of our entire existence to something as tiny as atoms and make sense of various events in history that shaped our world.
27,The Sovereign Individual," jumps into the future and presents a new world where life moves into the online environment, where the cybereconomy rules and governments are struggling to control the people like they used to, all through a revolution more powerful than anything we’ve seen before."
28,Keto Answers," is your go-to guide on how to get started with the ketogenic diet, its positive implications on your health and proneness to diseases like diabetes, and a fact-based study that debunks myths and assumptions about following a low-carb diet. "
29,Joyful," talks about the power of small things in our lives, from colors, shapes, and designs, to nature, architecture, and simple everyday occurrences on our happiness and how we can harness simplicity to achieve a meaningful life filled with joy."
30,Invisible Women," talks about the flaws in our societal system, which was built on the premise that men should rule and conquer the world while women should stay at home, which is why we’re still seeing gender gaps in the personal, professional, and day-to-day lives of women."
31,The Worldly Philosophers," is your hands-on guide to economics, how the world works overall but especially from a financial point of view, what are the social and economic systems that existed throughout history, and how certain people’s concepts got to shape the world we know today."
32,Brain Maker," argues that the relationship between your gut and your mind is stronger than you know, and proves how the microbiome is responsible for your overall health in the long run."
33,Tesla: Man Out of Time," presents the biography and remarkable life of Nikola Tesla, one of the most notable inventors and engineers of all time, while also highlighting his bumpy relationship with Thomas Edison and his heavy childhood."
34,The God Equation," presents a factual approach to the theory of life, the inception of the universe, and how modern physics lay the foundation of all natural laws that govern the galaxies, the planets, and our home called Earth."
35,Astrophysics for People in a Hurry," talks about the laws of nature, physics, astronomy, and the mysterious inception of our cosmos, the universe, stars, and implicitly our beautiful planet where life thrives and perpetuates."
36,Lifespan," addresses the concept of aging and defies the laws of nature that humankind knew till now by presenting a cure to aging that derives from exetensive research in biology, diet and nutrition, sports, and the science of combating diseases."
37,The Inner Life of Animals," presents complex research on animals and the life of our ecosystem, which is not so different than ours, given that they can feel pain, experience emotions, and share other similarities with us, humans."
38,Chaos," is a scientific piece of writing that presents the principles behind the Chaos Theory, which was popularized in the late 20th century and represents a monumental step forward in the area of scientific knowledge and the universe’s evolution overall."
39,Unlimited Memory, explores the most effective ways to retain information and improve memory skills by teaching its readers some key aspects about the brain and explaining advanced learning strategies in an easy-to-follow manner.
40,Wintering," highlights the similarities between the cold season of the year and the period of hardship in a human life, by emphasizing how everything eventually passes in time, and how we can learn to embrace challenging times by learning from wolves, from the cold, and how our ancestors dealt with the winter."
41,The Shallows," explores the effects of the Internet on the human brain, which aren’t entirely positive, as our constant exposure to the online environment through digital devices strips our ability to target our focus and stay concentrated, all while modifying our brain neurologically and anatomically. "
42,Rationality," explores the concept of ration as the pylon of all human progress and how it sets us apart from all other species, helping us evolve and developing societal layers, rules of conduct, and moral grounds for all our endeavors in life."
43,The High 5 Habit," is a self-improvement book that aims to help anyone who deals with self-limitations take charge of their life by establishing a morning routine, ditching negative talk, and transforming their life through positivity and confidence."
44,Why Zebras Don’t Get Ulcers," explores the leading causes of stress and how to keep it under control, as well as the biological science behind stress, which can be a catalyst for performance in the short term, but a potential threat in the long run."
45,What Is Life?,"compresses a series of lectures given by the notorious physicist Erwin Schrödinger, and is a compelling research on how science, especially biology, chemistry and physics account for the ongoing process that the human body undertakes to simply exist and live"
46,The Self-Discipline Blueprint," delves into the subject of self-actualization and why it is crucial for humans to achieve a fulfilled and successful life by creating a routine and becoming focused, self-disciplined and hard-working."
47,Stealing Fire, examines how a state of ecstasy can enhance the body-brain connection and allow humans to achieve excellent performance by accelerating their neural processes.
48,Brain Food," delves into the topic of nutrition and how certain foods and nutrients can affect the well-being of the brain, its memory function, its cognitive capability, and how what we ingest can reverse the brain’s inclination to develop certain diseases."
49,The Secret World of Weather," is a guide to forecasting weather through various clues found in nature, such as plants, the wind, or clouds, to come up with an accurate calculation of the weather without having to check the news."
50,Long Life Learning," questions the current educational systems worldwide in relation to an increasing trend in job automation, growing life expectancy, and a devaluation in higher degrees, all with a strong focus on the future of work and urgency to adapt to it."
51,The Genius of Dogs," explores the curious mind of man’s best friend in relation to human intelligence, as dogs and humans are connected and have many similarities that make the relationship between them so strong and unique. "
52,Forest Bathing," explores the Japanese tradition of shinrin-yoku, a kind of forest therapy based on immersion in nature, and the various health and wellbeing benefits we can derive from it to live better, calmer lives."
53,"Eat Better, Feel Better", is a go-to guide for combating modern dietary problems and adopting a healthier lifestyle.
54,How To Change," identifies the stumbling blocks that are in your way of reaching your goals and improving yourself and the research-backed ways to get over them, including how to beat some of the worst productivity and life problems like procrastination, laziness, and much more."
55,The Data Detective," will make you smarter by showing how you can understand statistics well enough to see how they, and the beliefs and cognitive biases they can make you have, make such a huge impact in your life, for better or for worse, and how to separate fact from fiction."
56,What Happened to You?," is Oprah’s look into trauma, including how traumatic experiences affect our brains throughout our lives, what they mean about the way we handle stress, and why we need to see it as both a problem with our society and our brains if we want to get through it."
57,The Great Escape," challenges the idea that the world is on fire by declaring that things have never been better in many ways, although the advancements we’ve made and the ways they have improved many lives haven’t reached everyone equally."
58,Ten Arguments For Deleting Your Social Media Accounts Right Now," shows why you should quit social media because it stops joy, makes you a jerk, erodes truth, kills empathy, takes free will, keeps the world insane, destroys authenticity, blocks economic dignity, makes politics a mess, and hates you."
59,The Emperor Of All Maladies," details the beginnings and progress in our understanding of cancer, including how we first started learning about it, began developing ways to treat it and discovered ways to prevent it, and the biological effect that it has on us."
60,The Double Helix," tells the story of the discovery of DNA, which is one of the most significant scientific findings in all of history, by explaining the rivalries, struggles of the prideful scientific community to work together, and other roadblocks that James Watson had on the way to making the breakthrough of a lifetime that would change his life and the entire world."
61,The Dark Net," dives into the details of the wildest and most dangerous parts of the digital world, including self-harmers, cryptocurrency programmers, computer scientists, hackers, extremists, pornographers, vigilantes, and much more."
62,2030," uses the current trajectory of the world, based on sociological, demographic, and technological trends, to outline the changes we can expect to happen in our lives by the beginning of the next decade."
63,The End Of Illness, will change the way that you think of sickness and health by identifying the problems with the current mindset around them and how focusing on the systems within your body instead of disease will help you make better-informed decisions that will keep you on the path of good health.
64,The Grand Design," explains the history of mankind from a scientific perspective, including how we came into existence and started to use science to explain the world and ourselves with laws like Newton’s and Einstein’s and more recent theories like quantum physics."
65,I Contain Multitudes, will make you smarter and healthier by teaching you about the tiny ecosystems of microbes that live inside your body and on everything you see and by showing you how they affect your life and how to utilize them to improve your well-being.
66,The Science Of Storytelling," will make you better at persuasion, writing, and speaking by outlining the psychology of telling good tales, including why our brains like them and how to craft the perfect ones."
67,Mindful Work," is your guide to understanding how the practice of meditation got its roots in Western society, the many ways it radically improves your brain’s ability to do almost everything, and how it will improve your productivity."
68,Phantoms In The Brain, will make you smarter about your own mind by sharing what scientists have learned from some of the most interesting experiences of patients with neurological disorders.
69,Survival Of The Friendliest," explains why the #1 thing you can do for success is to focus on your social connections, how friendliness was the reason that our early ancestors survived as well as they did, and what you can do today to grow your social capital."
70,How To Avoid A Climate Disaster," is Bill Gates’ plea to the individuals, governments, and business leaders of the world to reduce greenhouse emissions by changing the way we make things, plug in, grow things, get around, and keep warm and cool."
71,Breath," is a fascinating and helpful guide to understanding the science of breathing, including how doing it slowly and through your nose is best for your lungs and body, and the many proven mental and physical benefits of being more mindful of how you inhale and exhale."
72,When The Body Says No," will help you become healthier by teaching you the truth behind the mind-body connection, revealing how your mental state does in fact affect your physical condition and how you can improve both."
73,The Soul Of An Octopus," will make you smarter about animal life in the ocean by explaining the fascinating abilities, brilliance, and personalities of octopuses."
74,Late Bloomers, will help you become more patient with the speed of your progress by identifying the damaging influences of early achievement culture and societal pressure and how to be proud of reaching your peak later in life.
75,Limitless," shows you how to unlock the full potential that your brain has for memory, reading, learning, and much more by showing you how to take the brakes off of your mental powers with tools like mindset, visualization, music, and more."
76,Eat To Beat Disease, will help you be healthier and fight off infection by identifying how food affects your immune system and what to put into your body that will make you more resilient against illness.
77,The Hot Zone," is Richard Preston’s version of a terrifying true story of how the Ebola virus came to be, why it’s so deadly and contagious, and how this all reveals our massive vulnerabilities and inefficiencies when it comes to fending off pandemics of all kinds."
78,The Beautiful Cure, makes you smarter by showing you how your immune system works and how recent advancements in our understanding of it can help us improve our health like never before.
79,The Telomere Effect, shows you how to live healthier and stay younger longer by identifying an important part of your physiology that you might have never heard of and teaching you how to take great care of it.
80,Suggestible You," helps you understand and utilize the power of your mind-body connection by explaining the effect that your thoughts have on your body, including pain, illness, and memory and how to take advantage of it."
81,Energy," makes you smarter by helping you understand where this important aspect of our lives comes from, how we’ve used it throughout history to get to where we are today, and why we need to be careful about how we consume it so that we can have a better future."
82,The Sleep Solution," improves your quality of life by identifying the myths surrounding rest that keep you from getting more of it, showing you why they’re false, and teaching you how to establish proper sleep hygiene. "
83,The Order Of Time," expands your mind by shattering your commonly held beliefs about time, identifying how the way society views it is merely a construct of the mind and its actual characteristics are a lot more interesting than we all think."
84,Willpower Doesn’t Work, shows you how to change your life in a more efficient way than relying on sheer grit alone by identifying the importance of your environment and other factors that affect your productivity so you can become your best self.
85,Food Fix, will help you eat healthier and improve the environment at the same time by explaining how bad our food is for us and our planet and what we can each do to fix these problems.
86,Blueprint, helps you have hope for the goodness of the human race by revealing our biologically wired social tendencies that help us survive and thrive by working together.
87,The Unexpected Joy Of Being Sober, will help you have a happier and healthier life by persuasively revealing the many disadvantages of alcohol and the benefits of going without it permanently. 
88,Descartes’ Error, will help you understand why the argument that the mind and body are disconnected is false by using neuroscience and interesting case studies to identify how the body and our emotions play a vital role in logical thinking.
89,Personality Isn’t Permanent," will shatter your long-held beliefs that you’re stuck as yourself, flaws and all, by identifying why the person you are is changeable and giving you specific and actionable steps to change."
90,Deep Nutrition, will help you get healthier by explaining the danger of modern dieting techniques that are actually doing harm to your body and making you sick. 
91,My Age Of Anxiety," is your guide to understanding an aspect of mental illness that most of us don’t realize is so severe, showing it’s biological and environmental origins and ways to treat it."
92,The Body," helps you become smarter about how to take care of and use this mechanism that lets you have life by explaining how it’s put together, what happens on the inside, and how it works. "
93,Boost!, is a guide for becoming more productive at work by using the preparation and performance techniques that world-class athletes use to win gold medals.
94,AI Superpowers," will help you understand what to expect of the effect that artificial intelligence will have on your future job opportunities by diving into where China and the US, the world’s two leaders in AI, are heading with this breakthrough technology."
95,Doubt: A History," is a fascinating look at the historical influence of doubt on science, religion, and the way we think today."
96,What to Eat When," teaches us how food works inside our body and how to feed ourselves in a way that better suits our biology, making us healthier and stronger."
97,Comfortably Unaware, is a well-researched compendium on how our food choices and animal agriculture impact the well-being of the whole planet.
98,Pandemic," gives you an understanding of what pathogens and diseases are, how they evolve, what our lifestyle does to make them worse on us, how they can spread like wildfire, and most importantly, what we can do to stop them."
99,Social, explains how our innate drive to build social connections is the primary driver behind our behavior and explores ways we can use this knowledge to our advantage. 
100,A Brief History Of Everyone Who Ever Lived, gives you another important perspective on mankind’s past and present through the lens of our genes.
101,Cosmos," will make you smarter by teaching you the basics of how the universe works, including our own solar system and its history."
102,The Worry-Free Mind, helps free you of the shackles of all types of anxieties by identifying where they come from and what steps you need to take to regain control of your thinking patterns and become mentally healthy again.
103,Brief Answers To The Big Questions," tackles some of the universe’s biggest mysteries, as Hawking explores the laws that govern the cosmos and the future of humankind. "
104,Chernobyl," teaches some fascinating and important history, science, and leadership lessons by diving into the details of the events leading up to the worst nuclear disaster in human history and its aftermath."
105,Seven Brief Lessons On Physics," is your guide to getting up to speed with current theories on how the universe works by explaining general relativity and quantum mechanics, the two pillars of modern physics."
106,Brain Rules," teaches you how to become more productive at work and life by giving proven facts about how your mind works better with good sleep, exercise, and learning with all the senses."
107,Broadcasting Happiness," is an encouraging resource that will help you boost your health and happiness in your relationships, work, and community by showing you how to unlock the power of positive words and stories."
108,The Joy Of Movement, is just what you need to finally find the motivation to get out and exercise more often by teaching you the scientific reasons why it’s good for you and why your body is designed to enjoy it.
109,The Immortal Life of Henrietta Lacks, makes you smarter and more compassionate by revealing the previously unknown story of a woman with extraordinary cells that still live today and have contributed to dozens of medical breakthroughs.
110,The Body Keeps The Score, teaches you how to get through the difficulties that arise from your traumatic past by revealing the psychology behind them and revealing some of the techniques therapists use to help victims recover.
111,How To Change Your Mind," reveals new evidence on psychedelics, confirming their power to cure mental illness, ease depression and addiction, and help people die more peacefully.  "
112,Maybe You Should Talk To Someone, will help you feel more comfortable with using therapy to improve your mental health by giving a candid look into how therapy really works from the point of view of an experienced therapist who also found herself needing it.
113,A General Theory Of Love, will help you reprogram your mind for better emotional intelligence and relationships by teaching you what three psychiatrists have to say about the science of why we experience love and other emotions.
114,The Little Book of Lykke, gives Danish-derived and science-backed tips that will help you be happier.
115,Why We Sleep, will motivate you get more and better quality sleep by showing you the recent scientific findings on why sleep deprivation is bad for individuals and society.
116,A Universe From Nothing," will enlarge your knowledge of our expanding universe by showing you how it began, what we’re learning about it now, and what will happen to it in the future."
117,A Crack In Creation," will teach you all about the power of gene editing that is made possible with CRISPR by detailing how it works, the benefits and opportunities it opens up, and the ethical risks of using it on humans."
118,How To," will help you get better at abstract thinking as it gives solutions to some of the strangest problems in the wackiest, but still scientific, ways."
119,A Mind For Numbers," will teach you how to learn math and science more efficiently and get good at them by understanding how your brain absorbs and processes information, even if these subjects don’t come naturally to you."
120,A Beautiful Mind," tells the fascinating story of the mathematical genius, mental illness, and miraculous recovery and success of John Nash Jr."
121,Feral, will help you find ways to improve the well-being of humanity by illustrating the deep connection between us and Nature and offering actionable advice on how to preserve balance in our ecosystems through rewilding.
122,Sleep Smarter, is a collection of 21 simple tips and tricks to optimize your sleep environment once and then reap the benefits of more restful nights forever.
123,What If," is a compilation of well-researched, science-based answers to some of the craziest hypothetical questions you can imagine."
124,Exploring The World Of Lucid Dreaming, is a practical guide to dreaming consciously which uncovers an invaluable channel of communication between your conscious and unconscious mind.
125,The Sports Gene," is a look at how genes affect our abilities, motivations, and endurance in sports, explaining why some people are better suited for certain sports than others."
126,The Brain That Changes Itself, explores the groundbreaking research in neuroplasticity and shares fascinating stories of people who can use the brain’s ability to adapt and be cured of ailments previously incurable. 
127,Psycho-Cybernetics," explains how thinking of the human mind as a machine can help improve your self-image, which will dramatically increase your success and happiness."
128,Altered Traits, explores the science behind meditation techniques and the way they benefit and alter our mind and body.
129,Merchants of Doubt," explains how a small but loud group of researchers were able to mislead the public about the truths around global warming, tobacco, DDT, and other important issues for decades. "
130,How Not To Die, delivers a template for extending your life based on scientific research which recommends switching to a mainly plant-based diet. 
131,Behave," sets out to explain the reason behind human behavior, good or bad, by exploring the influences of brain chemistry and our environment."
132,Brainstorm, is a fascinating look into the teenage brain that explains why adolescents act so hormonally and recklessly.
133,On The Origin Of Species, is the foundational book for modern evolutionary biology that marked a turning point in how we think about the beginnings of humankind.
134,How Emotions Are Made, explores the often misconstrued world of human feelings and the cutting-edge science behind how they’re formed.
135,Against Empathy, explains the problems with society’s obsession with empathy and explores its limitations while giving us useful alternatives for situations in which it doesn’t work.
136,The Biology of Belief," is an overview of the recent findings in cellular biology, which are redefining the way we look at evolution, genetics and the nature of life."
137,The Hidden Life of Trees," describes how trees can communicate, support each other, learn from experience, and form alliances with other inhabitants of the forest."
138,Silent Spring," is the story that sparked the global grassroots environmental movement in 1962, explaining how chemical pesticides work, what their drawbacks are, and how we can protect crops in better, more sustainable ways."
139,Aware," is a comprehensive overview of the far-reaching benefits of meditation, rooted in both science and practice, enriched with actionable advice on how to practice mindfulness. "
140,Lost Connections," explains why depression affects so many people and that improving our relationships, not taking medication, is the way to beat our mental health problems."
141,The Age of Empathy," explains that empathy comes natural to humans, as it does to most other animals, and that we’re not wired to be selfish and violent, but kind and cooperative."
142,Counterclockwise, is a critical look at current perspectives on health with a particular focus on how we can improve our own when we shift from being mindless to mindful.
143,The Yes Brain," offers parenting techniques that will give your kids an open attitude towards life, balance, resilience, insight, and empathy."
144,Born To Run," explains the natural benefits of long-distance running, and how you can become a better runner too, based on several years of research, experiences, and training."
145,The Tao of Physics," questions many biases about Western science and Eastern spirituality, showing the close connections between the principles of physics and those of Buddhism, Hinduism, and Taoism"
146,Rest," examines why traditional methods of working too long and hard are inefficient compared to working less, resting, and playing to accomplish your best work."
147,The Blue Zones Solution," shows you how to adopt the lifestyle and mindset practices of the healthiest, longest-living people on the planet from the five locations with the highest population of centenarians."
148,"Write It Down, Make It Happen"," is a simple guide to help you accomplish your goals through the act of writing, showing you how to use this basic skill to focus, address fears, and stay motivated."
149,Atomic Habits," is the definitive guide to breaking bad behaviors and adopting good ones in four steps, showing you how small, incremental, everyday routines compound into massive, positive change over time."
150,Homo Deus, illustrates the history of the human race from how we came to be the dominant species over what narratives are shaping our lives today all the way to which obstacles we must overcome next to continue to thrive.
151,The Chimp Paradox," uses a simple analogy to help you take control of your emotions and act in your own, best interest, whether it’s in making decisions, communicating with others, or your health and happiness."
152,Factfulness," explains how our worldview has been distorted with the rise of new media, which ten human instincts cause erroneous thinking, and how we can learn to separate fact from fiction when forming our opinions."
153,Problem Solving 101," is a universal, four-step template for overcoming challenges in life, based on a traditional method Japanese school children learn early on."
154,Skin In The Game," is an assessment of asymmetries in human interactions, aimed at helping you understand where and how gaps in uncertainty, risk, knowledge, and fairness emerge, and how to close them."
155,When: The Scientific Secrets of Perfect Timing," breaks down the science of time so you can stop guessing when to do things and pick the best times to work, eat, sleep, have your coffee and even quit your job."
156,Leonardo Da Vinci," is Walter Isaacson’s account of the life of one of the most brilliant artists, thinkers, and innovators who ever lived."
157,Barking Up The Wrong Tree," turns standard success advice on its head by looking at both sides of many common arguments, like confidence, extroversion, or being nice, concluding it’s really other factors that decide if we win, and we control more of them than we think."
158,Emotional Agility," provides a new, science-backed approach to navigating life’s many trials and detours on your path to fulfillment, with which you’ll face your emotions head on, observe them objectively, make choices based on your values and slowly tweak your mindset, motivation and habits."
159,The Road Less Traveled," is a spiritual classic, combining scientific and religious views to help you grow by confronting and solving your problems through discipline, love and grace."
160,The Myth Of Multitasking," explains why doing everything at once is neither efficient, nor even possible, and gives you practical steps for more focus in the workplace."
161,Long-Term Thinking For A Short-Sighted World," explains why we rarely think about the long-term consequences of our actions, how this puts our entire species in danger and what we can do to change and ensure a thriving future for mankind."
162,Genius: The Life And Science Of Richard Feynman," tells the story of one the greatest minds in the history of science, all the way from his humble beginnings to changing physics as we know it and receiving the Nobel prize."
163,Payoff," unravels the complex construct that is human motivation and shows you how it consists of many more parts than money and recognition, such as meaning, effort and ownership, so you can motivate yourself not just today, but every day."
164,Peak," accumulates everything the pioneer researcher on deliberate practice has learned about expert performance through decades of exploration and analysis of what separates those, who are average, from those, who are world-class at what they do."
165,The Habit Blueprint," strips down behavior change to its very core, giving you the ultimate, research-backed recipe for cultivating the habits you desire, with plenty of backup steps you can take to maximize your chances of success."
166,Decisive," gives you a scientific, 4-step approach to making better decisions in your life and career, based on an extensive study of the available literature and research on the topic."
167,A Short History Of Nearly Everything," explains everything we’ve learned about our world and the universe so far, including how they formed, how we learned to make sense of time, space and gravity, why it’s such a miracle that we’re alive and how much of our planet is still a complete mystery to us."
168,The Art Of Choosing," extensively covers the scientific research made about human decision making, showing you what affects how you make choices, how the consequences of those choices affect you, as well as how you can adapt to these circumstances to make better decisions in the future."
169,Forensics: The Anatomy Of Crime," gives you an inside looks at all the different fields of criminal forensics and their history, showing you how the investigation and evidence-collection of crimes has changed dramatically within the last 200 years, helping us find the truth behind more and more crimes."
170,The Magic Of Reality," explains many of the world’s natural phenomenons in a scientific way, so that you can understand how the elementary components of our planet work together to logically, yet beautifully, create the place we all call home."
171,The End Of Average," explains the fundamental flaws with our culture of averages, in which we design everything for the average person, when that person doesn’t exist, and shows how we can embrace our individuality and use it to succeed in a world that wants everyone to be the same."
172,How Not To Be Wrong," shows you that math is really just the science of common sense and that studying a few key mathematical ideas can help you assess risks better, make the right decisions, navigate the world effortlessly and be wrong a lot less."
173,Grit," describes what creates outstanding achievements, based on science, interviews with high achievers from various fields and the personal history of success of the author, Angela Duckworth, uncovering that achievement isn’t reserved for the talented only, but for those with passion and perseverance."
174,Made To Stick," examines advertising campaigns, urban myths and compelling stories to determine the six traits that make ideas stick in our brains, so you don’t just know why you remember some things better than others, but can also spread your own ideas more easily among the right people."
175,The Botany Of Desire," describes how, contrary to popular belief, we might not be using plants as much as plants use us, by getting humans to ensure their survival, thanks to appealing to our desires for beauty, sweetness, intoxication and control."
176,The Magic of Math," shows you not only the power, but also the beauty of mathematics, unlike you’ve ever seen it in school and with practical, real-world applications."
177,The Genius Of Birds," shines a new light on a genuinely underrated kind of vertebrate by explaining birds’ capacities to be social, intelligently solve challenges, learn languages, be artistic and navigate the planet."
178,The Evolution Of Everything," compares creationist to evolutionist thinking, showing how the process of evolution we know from biology underlies and permeates the entire world, including society, morality, religion, culture, economics, money, innovation and even the internet."
179,The Singularity Is Near," outlines the future of technology by describing how change keeps accelerating, what computers will look like and be made of, why biology and technology will become indistinguishable and how we can’t possibly predict what’ll happen after 2045."
180,The Selfish Gene," explains the process of evolution in biology using genes as its basic unit, showing how they manifest in the form of organisms, what they do to ensure their own survival, how they program our brains, which strategies have worked best throughout history and what makes humans so special in this context."
181,Elon Musk," is the first official biography of the creator of SolarCity, SpaceX and Tesla, based on over 30 hours of conversation time between author Ashlee Vance"
182,Einstein: His Life And Universe," takes a close look at the life of Albert Einstein, beginning in how his childhood shaped him, what his biggest discoveries and personal struggles were and how his focus changed in later years, without his genius ever fading until his very last moment."
183,Smarter," is one “slow learner” turned A student’s experimental account of improving his intelligence by 16% through various tests, lessons and exercises and explains how you can increase your intelligence in scientifically proven ways."
184,Hackers and Painters," is a collection of essays by Y Combinator founder Paul Graham about what makes a good computer programmer and how you can code the future if you are one, making a fortune in the process."
185,Everything Is Obvious," shows you that common sense isn’t as reliable as you think it is, because it often fails us in helping to make predictions, and how you can change the way you or your company make decisions with more scientific, statistically grounded methods."
186,Oxygen," helps you understand the biology of our evolution by taking a close look at the molecule that can make and break all life and how it’s shaped the rise of animals, plants and humans, as well as why it might be the key to ending aging."
187,Predictably Irrational," explains the hidden forces that really drive how we make decisions, which are far less rational than we think, but can help us stay on top of our finances, interact better with others and live happier lives, once we know about them."
188,The Talent Code," cracks open the myth of talent and breaks it down from a neurological standpoint into three crucial parts, which anyone can pull together to become a world-class performer, artist, or athlete and form something they used to believe was not even within their own hands."
189,Abundance," shows you the key technological trends being developed today, to give you a glimpse of a future that’s a lot brighter than you think and help you embrace the optimism we need to make it happen."
190,Why We Love," delivers a scientific explanation for love, shows you how it developed historically and evolutionarily, tells you what we’re all attracted to and where we differ, and of course gives you actionable advice to deal with both the exciting, successful romance in your life, as well as its sometimes inevitable fallout."
191,Freakonomics," helps you make better decisions by showing you how your life is dominated by incentives, how to close information asymmetries between you and the experts that exploit you and how to really tell the difference between causation and correlation."
192,The Blue Zones," gives you advice on how to live to be 100 years and older by looking at five spots across the planet, where people live the longest, and drawing lessons about what they eat, drink, how they exercise and which habits most shape their lives."
193,The China Study, examines the effect of animal protein intake on cancer risk and suggests improving your health by focusing on a plant-based diet.
194,Drive, explores what has motivated humans throughout history and explains how we shifted from mere survival to the carrot and stick approach that’s still practiced today – and why it’s outdated.
195,The Happiness Project," will show you how to change your life, without actually changing your life, thanks to the findings of modern science, ancient history and popular culture about happiness, which the author tested for a year and now shares with you."
196,Immunity," is an introductory guide to how your immune system works, why it’s a double-edged sword, and which laws govern its existence."
197,Outliers," explains why “the self-made man” is a myth and what truly lies behind the success of the best people in their field, which is often a series of lucky events, rare opportunities and other external factors, which are out of our control."
